country code,country,continent,indicator type,2016,2017,2018,2019,2020,2021,2022,region 1,difference,inflation_category
MRT,Mauritania,Africa,Inflation,1.47,2.27,3.07,2.31,2.39,3.77,7.1,Western Africa,3.3299999999999996,Inflation
MUS,Mauritius,Africa,Inflation,0.95,3.68,3.21,0.45,2.58,4.03,10.77,Eastern Africa,6.739999999999999,Inflation
MWI,Malawi,Africa,Inflation,21.73,11.54,9.22,9.38,8.63,9.34,18.45,Eastern Africa,9.11,Inflation
MYS,Malaysia,Asia,Inflation,2.08,3.8,0.97,0.66,-1.14,2.48,3.38,South-eastern Asia,0.8999999999999999,Inflation
NAM,Namibia,Africa,Inflation,6.68,6.15,4.28,3.72,2.21,3.62,6.08,Southern Africa,2.46,Inflation
NER,Niger,Africa,Inflation,0.18,0.2,3.01,-2.52,2.76,3.84,4.23,Western Africa,0.39000000000000057,Inflation
NGA,Nigeria,Africa,Inflation,15.69,16.5,12.1,11.4,13.25,16.95,18.85,Western Africa,1.9000000000000021,Inflation
NIC,Nicaragua,North America,Inflation,3.52,3.85,4.94,5.38,3.68,4.93,10.47,Central America,5.540000000000001,Inflation
NLD,Netherlands,Europe,Inflation,0.32,1.3,1.7,2.67,1.27,2.68,10.0,Western Europe,7.32,Inflation
NOR,Norway,Europe,Inflation,3.55,1.88,2.76,2.17,1.29,3.48,5.8,Northern Europe,2.32,Inflation
NPL,Nepal,Asia,Inflation,9.93,4.45,4.15,4.64,5.05,3.6,6.26,Southern Asia,2.6599999999999997,Inflation
NRU,Nauru,Oceania,Inflation,8.15,5.08,0.46,4.3,0.89,1.2,2.0,Micronesia,0.8,Inflation
NZL,New Zealand,Oceania,Inflation,0.65,1.85,1.6,1.62,1.71,3.94,6.28,Australia and New Zealand,2.3400000000000003,Inflation
OMN,Oman,Asia,Inflation,1.11,1.6,0.88,0.13,-0.9,1.55,2.81,Western Asia,1.26,Inflation
PAK,Pakistan,Asia,Inflation,3.75,4.15,5.07,6.74,9.74,9.5,19.87,Southern Asia,10.370000000000001,Inflation
PAN,Panama,North America,Inflation,0.76,0.88,0.77,-0.35,-1.55,1.63,2.86,Central America,1.23,Inflation
PER,Peru,South America,Inflation,3.59,2.8,1.32,2.14,1.83,4.27,7.88,South America,3.6100000000000003,Inflation
PHL,Philippines,Asia,Inflation,1.81,2.85,5.26,2.48,2.64,3.93,5.82,South-eastern Asia,1.8900000000000001,Inflation
PLW,Palau,Oceania,Inflation,-1.03,0.9,1.57,0.61,0.22,0.45,12.2,Micronesia,11.75,Inflation
PNG,Papua New Guinea,Oceania,Inflation,6.69,5.43,4.73,3.68,3.37,4.49,6.6,Melanesia,2.1099999999999994,Inflation
POL,Poland,Europe,Inflation,-0.66,1.98,1.81,2.31,3.37,5.1,14.3,Eastern Europe,9.200000000000001,Inflation
PRI,Puerto Rico,North America,Inflation,-0.29,1.75,1.27,0.1,-1.3,2.41,4.39,Caribbean,1.9799999999999995,Inflation
PRT,Portugal,Europe,Inflation,0.61,1.56,0.99,0.3,-0.01,1.27,7.8,Southern Europe,6.529999999999999,Inflation
PRY,Paraguay,South America,Inflation,4.08,3.6,3.96,2.76,1.77,4.79,9.77,South America,4.9799999999999995,Inflation
PSE,West Bank and Gaza,Asia,Inflation,-0.22,0.21,-0.2,1.58,-0.74,1.24,,Western Asia,,Inflation
QAT,Qatar,Asia,Inflation,2.68,0.4,0.22,-0.55,-2.54,2.3,5.0,Western Asia,2.7,Inflation
ROU,Romania,Europe,Inflation,-1.55,1.34,4.64,3.83,2.63,5.05,13.8,Eastern Europe,8.75,Inflation
RUS,Russian Federation,Europe,Inflation,7.04,3.68,2.88,4.47,3.38,6.69,13.75,Eastern Europe,7.06,Inflation
RWA,Rwanda,Africa,Inflation,5.72,4.84,1.36,2.43,9.85,-0.39,17.7,Eastern Africa,18.09,Inflation
SAU,Saudi Arabia,Asia,Inflation,2.05,-0.85,2.47,-2.09,3.45,3.06,2.5,Western Asia,-0.56,deflation
SEN,Senegal,Africa,Inflation,0.84,1.32,0.46,1.02,2.55,2.18,9.69,Western Africa,7.51,Inflation
SGP,Singapore,Asia,Inflation,-0.54,0.58,0.45,0.56,-0.18,2.3,6.02,South-eastern Asia,3.7199999999999998,Inflation
SLB,Solomon Islands,Oceania,Inflation,0.5,0.48,2.66,1.83,2.96,-0.11,3.74,Melanesia,3.85,Inflation
SLE,Sierra Leone,Africa,Inflation,10.88,18.22,16.03,14.8,13.45,11.87,25.91,Western Africa,14.040000000000001,Inflation
SLV,El Salvador,North America,Inflation,0.61,1.01,1.09,0.07,-0.37,3.47,7.2,Central America,3.73,Inflation
SMR,San Marino,Europe,Inflation,0.57,1.0,1.73,0.95,0.22,0.76,2.08,Southern Europe,1.32,Inflation
SRB,Serbia,Europe,Inflation,1.12,3.13,1.95,1.85,1.58,4.09,11.98,Southern Europe,7.890000000000001,Inflation
SSD,South Sudan,Africa,Inflation,379.85,187.87,83.49,51.19,29.68,30.23,17.6,Eastern Africa,-12.629999999999999,deflation
STP,São Tomé and Principe,Africa,Inflation,5.43,5.69,7.87,8.36,7.87,8.14,15.05,Middle Africa,6.91,Inflation
SUR,Suriname,South America,Inflation,55.5,22.02,6.94,4.39,49.77,59.11,54.26,South America,-4.850000000000001,deflation
SVK,Slovak Republic,Europe,Inflation,-0.52,1.39,2.51,2.77,1.94,3.15,12.8,Eastern Europe,9.65,Inflation
SVK,Slovakia,Europe,Inflation,0.21,1.49,2.48,1.92,2.16,4.11,10.4,Eastern Europe,6.29,Inflation
SVN,Slovenia,Europe,Inflation,-0.05,1.43,1.74,1.63,-0.05,1.92,8.8,Southern Europe,6.880000000000001,Inflation
SWE,Sweden,Europe,Inflation,0.98,1.87,1.95,1.64,0.5,2.16,8.4,Northern Europe,6.24,Inflation
SWZ,Swaziland,Africa,Inflation,7.85,6.22,4.81,2.58,4.11,3.72,4.87,Southern Africa,1.15,Inflation
SYC,Seychelles,Africa,Inflation,-1.01,2.86,3.7,1.81,3.9,9.77,2.63,Eastern Africa,-7.14,deflation
TCD,Chad,Africa,Inflation,-1.12,-0.9,4.27,-0.97,2.8,-0.77,5.11,Middle Africa,5.880000000000001,Inflation
TGO,Togo,Africa,Inflation,0.86,-0.22,0.94,0.69,1.83,4.55,7.61,Western Africa,3.0600000000000005,Inflation
THA,Thailand,Asia,Inflation,0.19,0.67,1.07,0.71,-0.85,1.23,6.08,South-eastern Asia,4.85,Inflation
TJK,Tajikistan,Asia,Inflation,6.04,7.31,3.83,7.79,8.59,8.92,7.67,Central Asia,-1.25,deflation
TKM,Turkmenistan,Asia,Inflation,3.65,8.04,13.3,5.09,7.58,14.95,17.5,Central Asia,2.5500000000000007,Inflation
TON,Tonga,Oceania,Inflation,2.58,7.37,2.91,3.29,0.24,1.41,8.52,Polynesia,7.109999999999999,Inflation
TTO,Trinidad and Tobago,North America,Inflation,3.09,1.88,1.03,1.0,0.6,2.06,5.03,Caribbean,2.97,Inflation
TUN,Tunisia,Africa,Inflation,3.61,5.31,7.27,6.72,5.63,5.71,8.31,Northern Africa,2.6000000000000005,Inflation
TUR,Turkey,Asia,Inflation,7.78,11.14,16.33,15.18,12.28,19.6,72.31,Western Asia,52.71,Inflation
TUV,Tuvalu,Oceania,Inflation,3.51,4.12,2.14,2.18,1.57,2.94,5.71,Polynesia,2.77,Inflation
TZA,Tanzania,Africa,Inflation,5.18,5.32,3.51,3.45,3.29,3.69,4.35,Eastern Africa,0.6599999999999997,Inflation
UGA,Uganda,Africa,Inflation,5.17,5.63,2.62,2.87,3.79,2.21,7.2,Eastern Africa,4.99,Inflation
UKR,Ukraine,Europe,Inflation,13.95,14.44,10.94,7.89,2.73,9.36,20.18,Eastern Europe,10.82,Inflation
URY,Uruguay,South America,Inflation,9.63,6.22,7.61,7.88,9.76,7.75,9.11,South America,1.3599999999999994,Inflation
USA,United States,North America,Inflation,1.26,2.14,2.44,1.81,1.23,4.7,8.0,Northern America,3.3,Inflation
UZB,Uzbekistan,Asia,Inflation,7.98,13.88,17.68,14.53,12.86,10.69,11.32,Central Asia,0.6300000000000008,Inflation
VCT,St. Vincent and the Grenadines,North America,Inflation,-0.16,2.15,1.24,0.91,-0.61,1.56,5.83,Caribbean,4.27,Inflation
VNM,Vietnam,Asia,Inflation,2.68,3.52,3.54,2.8,3.22,1.83,3.16,South-eastern Asia,1.33,Inflation
VUT,Vanuatu,Oceania,Inflation,0.84,3.09,2.31,2.75,2.92,2.34,4.58,Melanesia,2.24,Inflation
WSM,Samoa,Oceania,Inflation,0.13,1.3,4.2,2.19,-1.57,-3.01,8.75,Polynesia,11.76,Inflation
YEM,"Yemen, Rep.",Asia,Inflation,5.0,30.4,27.6,10.0,26.18,45.7,43.85,Western Asia,-1.8500000000000014,deflation
ZAF,South Africa,Africa,Inflation,6.59,5.27,4.5,4.13,3.22,4.61,7.0,Southern Africa,2.3899999999999997,Inflation
ZMB,Zambia,Africa,Inflation,17.86,6.58,7.49,9.8,15.73,22.02,10.99,Eastern Africa,-11.03,deflation
ZWE,Zimbabwe,Africa,Inflation,-1.57,0.91,10.61,255.29,557.21,98.55,284.94,Eastern Africa,186.39,Inflation
VGB,British Virgin Islands,North America,Inflation,1.1,1.2,2.1,1.4,0.4,2.8,,Caribbean,,Inflation
LIE,Liechtenstein,Europe,Inflation,-0.41,0.51,0.92,0.4,-0.7,0.51,2.83,Western Europe,2.3200000000000003,Inflation
MSR,Montserratit,North America,Inflation,-0.25,1.19,1.31,-1.07,-1.89,1.67,,Caribbean,,Inflation
NCL,New Caledonia,Oceania,Inflation,0.58,1.38,1.33,0.25,-0.53,0.62,,Melanesia,,Inflation
SHN,Saint Helena,Africa,Inflation,2.6,5.1,3.8,3.3,1.1,1.3,,Western Africa,,Inflation
TCA,Turks and Caicos Islands,North America,Inflation,2.0,2.1,2.1,2.2,2.3,,,Caribbean,,Inflation
